text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_3.started,text_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
58.58588039999813,None,space,1.620440900001995,58.58588039999813,None,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Dec_01_0755,project,2021.2.3,59.98854218805499,
,,,,,,60.22862359999999,None,space,2.8890037999990454,60.22862359999999,None,,,,,,,,,,,,,,,,,,,9,001,2021_Dec_01_0755,project,2021.2.3,59.98854218805499,
,,,,,,,,,,,,63.14754389999871,None,space,1.9379394999996293,63.14754389999871,None,,,,,,,,,,,,,9,001,2021_Dec_01_0755,project,2021.2.3,59.98854218805499,
,,,,,,,,,,,,,,,,,,65.11578440000085,None,space,17.457930699998542,65.11578440000085,None,,,,,,,9,001,2021_Dec_01_0755,project,2021.2.3,59.98854218805499,
,,,,,,,,,,,,,,,,,,,,,,,,82.59630259999904,None,space,0.5938074999976379,82.59630259999904,None,9,001,2021_Dec_01_0755,project,2021.2.3,59.98854218805499,
